,Tensión,Tensión Corriente,ET,ETC
0,0.35707912,104.7847,"+1.00000000E+00
","+1.00000000E+02
"
1,0.48638504,101.30504,"+1.00000000E+00
","+1.00000000E+02
"
2,0.4856492,100.15978,"+1.00000000E+00
","+1.00000000E+02
"
3,0.48446878,99.026998,"+1.00000000E+00
","+1.00000000E+02
"
4,0.48321481,98.19034,"+1.00000000E+00
","+1.00000000E+02
"
5,0.48176258,97.281707,"+1.00000000E+00
","+1.00000000E+02
"
6,0.4802057,96.222976,"+1.00000000E+00
","+1.00000000E+02
"
7,0.47898882,95.10926,"+1.00000000E+00
","+1.00000000E+02
"
8,0.47757996,94.231625,"+1.00000000E+00
","+1.00000000E+02
"
9,0.47598672,93.488744,"+1.00000000E+00
","+1.00000000E+02
"
10,0.47462004,92.521278,"+1.00000000E+00
","+1.00000000E+02
"
11,0.47320076,91.506846,"+1.00000000E+00
","+1.00000000E+02
"
12,0.47152821,90.592213,"+1.00000000E+00
","+1.00000000E+02
"
13,0.47028664,89.518739,"+1.00000000E+00
","+1.00000000E+02
"
14,0.46898111,88.780049,"+1.00000000E+00
","+1.00000000E+02
"
15,0.46742839,87.713747,"+1.00000000E+00
","+1.00000000E+02
"
16,0.46605359,86.831745,"+1.00000000E+00
","+1.00000000E+02
"
17,0.46425233,85.951291,"+1.00000000E+00
","+1.00000000E+02
"
18,0.4632192,85.281963,"+1.00000000E+00
","+1.00000000E+02
"
19,0.46155596,84.30496,"+1.00000000E+00
","+1.00000000E+02
"
20,0.46017122,83.501176,"+1.00000000E+00
","+1.00000000E+02
"
21,0.45839819,82.325887,"+1.00000000E+00
","+1.00000000E+02
"
22,0.45683672,81.444238,"+1.00000000E+00
","+1.00000000E+02
"
23,0.4555865,80.350555,"+1.00000000E+00
","+1.00000000E+02
"
24,0.45413431,79.631018,"+1.00000000E+00
","+1.00000000E+02
"
25,0.45259305,78.654509,"+1.00000000E+00
","+1.00000000E+02
"
26,0.45074883,77.735202,"+1.00000000E+00
","+1.00000000E+02
"
27,0.44933434,77.042191,"+1.00000000E+00
","+1.00000000E+02
"
28,0.44789339,75.964742,"+1.00000000E+00
","+1.00000000E+02
"
29,0.44641828,75.091283,"+1.00000000E+00
","+1.00000000E+02
"
30,0.4448915,74.17373,"+1.00000000E+00
","+1.00000000E+02
"
31,0.44334732,73.304461,"+1.00000000E+00
","+1.00000000E+02
"
32,0.44195721,72.400994,"+1.00000000E+00
","+1.00000000E+02
"
33,0.44035467,71.444225,"+1.00000000E+00
","+1.00000000E+02
"
34,0.43883664,70.520546,"+1.00000000E+00
","+1.00000000E+02
"
35,0.43712496,69.654403,"+1.00000000E+00
","+1.00000000E+02
"
36,0.43565746,68.772297,"+1.00000000E+00
","+1.00000000E+02
"
37,0.43420703,67.881719,"+1.00000000E+00
","+1.00000000E+02
"
38,0.43241952,67.087186,"+1.00000000E+00
","+1.00000000E+02
"
39,0.43125857,66.079373,"+1.00000000E+00
","+1.00000000E+02
"
40,0.4298177,65.063079,"+1.00000000E+00
","+1.00000000E+02
"
