,Tensión,Tensión Corriente,ET,ETC
0,4.0198e-05,7.628e-05,"+1.00000000E-01
","+1.00000000E-01
"
1,3.9865e-05,7.6762e-05,"+1.00000000E-01
","+1.00000000E-01
"
2,3.9979e-05,8.4768e-05,"+1.00000000E-01
","+1.00000000E-01
"
3,3.9896e-05,7.9885e-05,"+1.00000000E-01
","+1.00000000E-01
"
4,0.000673806,68.173125,"+1.00000000E-01
","+1.00000000E+02
"
5,0.49996568,65.028556,"+1.00000000E+00
","+1.00000000E+02
"
6,0.4980664,64.159945,"+1.00000000E+00
","+1.00000000E+02
"
7,0.49637337,63.315884,"+1.00000000E+00
","+1.00000000E+02
"
8,0.49457159,62.624358,"+1.00000000E+00
","+1.00000000E+02
"
9,0.49275654,61.871324,"+1.00000000E+00
","+1.00000000E+02
"
10,0.49104246,61.177667,"+1.00000000E+00
","+1.00000000E+02
"
11,0.48915558,60.525725,"+1.00000000E+00
","+1.00000000E+02
"
12,0.48750546,59.627129,"+1.00000000E+00
","+1.00000000E+02
"
13,0.48590181,58.799433,"+1.00000000E+00
","+1.00000000E+02
"
14,0.4839943,58.11992,"+1.00000000E+00
","+1.00000000E+02
"
15,0.4822554,57.523988,"+1.00000000E+00
","+1.00000000E+02
"
16,0.48001487,56.563465,"+1.00000000E+00
","+1.00000000E+02
"
17,0.47865767,55.86365,"+1.00000000E+00
","+1.00000000E+02
"
18,0.47665568,55.128702,"+1.00000000E+00
","+1.00000000E+02
"
19,0.47497754,54.449751,"+1.00000000E+00
","+1.00000000E+02
"
20,0.47257503,53.62147,"+1.00000000E+00
","+1.00000000E+02
"
21,0.47099685,52.989614,"+1.00000000E+00
","+1.00000000E+02
"
22,0.4692082,52.356419,"+1.00000000E+00
","+1.00000000E+02
"
23,0.4672136,51.518936,"+1.00000000E+00
","+1.00000000E+02
"
24,0.46547109,50.970055,"+1.00000000E+00
","+1.00000000E+02
"
25,0.46361066,50.170565,"+1.00000000E+00
","+1.00000000E+02
"
26,0.46197378,49.348933,"+1.00000000E+00
","+1.00000000E+02
"
27,0.45969215,48.665825,"+1.00000000E+00
","+1.00000000E+02
"
28,0.45845475,47.786926,"+1.00000000E+00
","+1.00000000E+02
"
29,0.45609348,47.206909,"+1.00000000E+00
","+1.00000000E+02
"
30,0.45427389,46.336376,"+1.00000000E+00
","+1.00000000E+02
"
31,0.45269534,45.707812,"+1.00000000E+00
","+1.00000000E+02
"
32,0.4504431,44.973638,"+1.00000000E+00
","+1.00000000E+02
"
33,0.44889152,44.31142,"+1.00000000E+00
","+1.00000000E+02
"
34,0.44726193,43.644653,"+1.00000000E+00
","+1.00000000E+02
"
35,0.44497181,43.070607,"+1.00000000E+00
","+1.00000000E+02
"
36,0.44340972,42.120873,"+1.00000000E+00
","+1.00000000E+02
"
37,0.4415694,41.435891,"+1.00000000E+00
","+1.00000000E+02
"
38,0.43937539,40.663084,"+1.00000000E+00
","+1.00000000E+02
"
39,0.43756747,40.132689,"+1.00000000E+00
","+1.00000000E+02
"
40,0.43586048,39.280693,"+1.00000000E+00
","+1.00000000E+02
"
41,0.43358796,38.747483,"+1.00000000E+00
","+1.00000000E+02
"
42,0.43179441,37.954959,"+1.00000000E+00
","+1.00000000E+02
"
43,0.43022107,37.280424,"+1.00000000E+00
","+1.00000000E+02
"
44,0.42787623,36.555974,"+1.00000000E+00
","+1.00000000E+02
"
45,0.42639924,35.831996,"+1.00000000E+00
","+1.00000000E+02
"
46,0.42434413,35.14762,"+1.00000000E+00
","+1.00000000E+02
"
47,0.42232568,34.468882,"+1.00000000E+00
","+1.00000000E+02
"
48,0.42042514,33.913603,"+1.00000000E+00
","+1.00000000E+02
"
49,0.41830883,32.890744,"+1.00000000E+00
","+1.00000000E+02
"
50,0.41654924,32.313777,"+1.00000000E+00
","+1.00000000E+02
"
51,0.41481444,31.616869,"+1.00000000E+00
","+1.00000000E+02
"
52,0.41287422,30.92481,"+1.00000000E+00
","+1.00000000E+02
"
53,0.41083972,30.404577,"+1.00000000E+00
","+1.00000000E+02
"
54,0.40929034,29.707114,"+1.00000000E+00
","+1.00000000E+02
"
55,0.40739238,28.845737,"+1.00000000E+00
","+1.00000000E+02
"
56,0.40527018,28.166916,"+1.00000000E+00
","+1.00000000E+02
"
57,0.40335736,27.482449,"+1.00000000E+00
","+1.00000000E+02
"
58,0.40128495,26.761135,"+1.00000000E+00
","+1.00000000E+02
"
59,0.40013963,26.145046,"+1.00000000E+00
","+1.00000000E+02
"
60,0.3978999,25.349647,"+1.00000000E+00
","+1.00000000E+02
"
