,Tensión,Tensión Corriente,ET,ETC
0,0.24655304,2.5657e-05,"+1.00000000E+00
","+1.00000000E-01
"
1,0.24691494,6.391e-06,"+1.00000000E+00
","+1.00000000E-01
"
2,0.25706589,2.259e-06,"+1.00000000E+00
","+1.00000000E-01
"
3,0.26852604,3.997e-06,"+1.00000000E+00
","+1.00000000E-01
"
4,0.2778236,2.613e-06,"+1.00000000E+00
","+1.00000000E-01
"
5,0.28932579,3.331e-06,"+1.00000000E+00
","+1.00000000E-01
"
6,0.29941064,4.091e-06,"+1.00000000E+00
","+1.00000000E-01
"
7,0.30963605,3.091e-06,"+1.00000000E+00
","+1.00000000E-01
"
8,0.32038432,3.716e-06,"+1.00000000E+00
","+1.00000000E-01
"
9,0.33057231,3.341e-06,"+1.00000000E+00
","+1.00000000E-01
"
10,0.34192169,3.685e-06,"+1.00000000E+00
","+1.00000000E-01
"
11,0.35138272,3.528e-06,"+1.00000000E+00
","+1.00000000E-01
"
12,0.36326032,3.934e-06,"+1.00000000E+00
","+1.00000000E-01
"
13,0.37296077,3.008e-06,"+1.00000000E+00
","+1.00000000E-01
"
14,0.38428672,3.674e-06,"+1.00000000E+00
","+1.00000000E-01
"
15,0.39351326,4.018e-06,"+1.00000000E+00
","+1.00000000E-01
"
16,0.40497781,1.946e-06,"+1.00000000E+00
","+1.00000000E-01
"
17,0.41503451,5.537e-06,"+1.00000000E+00
","+1.00000000E-01
"
18,0.42550573,1.509e-06,"+1.00000000E+00
","+1.00000000E-01
"
19,0.43588437,4.986e-06,"+1.00000000E+00
","+1.00000000E-01
"
20,0.44626426,1.03e-06,"+1.00000000E+00
","+1.00000000E-01
"
21,0.45745038,6.412e-06,"+1.00000000E+00
","+1.00000000E-01
"
22,0.46774055,1.395e-06,"+1.00000000E+00
","+1.00000000E-01
"
23,0.47826019,6.776e-06,"+1.00000000E+00
","+1.00000000E-01
"
24,0.48868663,1.301e-06,"+1.00000000E+00
","+1.00000000E-01
"
25,0.49991531,6.141e-06,"+1.00000000E+00
","+1.00000000E-01
"
26,0.50989577,1.884e-06,"+1.00000000E+00
","+1.00000000E-01
"
27,0.52060043,5.693e-06,"+1.00000000E+00
","+1.00000000E-01
"
28,0.50889448,2.946e-06,"+1.00000000E+00
","+1.00000000E-01
"
29,0.51932207,10.706633,"+1.00000000E+00
","+1.00000000E+01
"
30,0.52570101,12.602749,"+1.00000000E+00
","+1.00000000E+02
"
31,0.53298489,14.710481,"+1.00000000E+00
","+1.00000000E+02
"
32,0.53935525,16.782652,"+1.00000000E+00
","+1.00000000E+02
"
33,0.54689165,18.399642,"+1.00000000E+00
","+1.00000000E+02
"
34,0.55449622,20.094477,"+1.00000000E+00
","+1.00000000E+02
"
35,0.56231982,21.726088,"+1.00000000E+00
","+1.00000000E+02
"
36,0.56991906,23.112961,"+1.00000000E+00
","+1.00000000E+02
"
37,0.57816262,24.451523,"+1.00000000E+00
","+1.00000000E+02
"
38,0.58590274,25.776954,"+1.00000000E+00
","+1.00000000E+02
"
39,0.59466121,27.052845,"+1.00000000E+00
","+1.00000000E+02
"
40,0.60175055,28.41014,"+1.00000000E+00
","+1.00000000E+02
"
41,0.6095022,29.717957,"+1.00000000E+00
","+1.00000000E+02
"
42,0.61808096,31.124505,"+1.00000000E+00
","+1.00000000E+02
"
