,Tensión,Tensión Corriente,ET,ETC
0,0.30949976,53.738122,"+1.00000000E+00
","+1.00000000E+02
"
1,0.33524246,-9.951e-06,"+1.00000000E+00
","+1.00000000E-01
"
2,0.34074186,-2.0005e-05,"+1.00000000E+00
","+1.00000000E-01
"
3,0.34447746,-1.0409e-05,"+1.00000000E+00
","+1.00000000E-01
"
4,0.34997843,-7.005e-06,"+1.00000000E+00
","+1.00000000E-01
"
5,0.35408837,-7.4e-06,"+1.00000000E+00
","+1.00000000E-01
"
6,0.35950233,-3.133e-06,"+1.00000000E+00
","+1.00000000E-01
"
7,0.36358498,-3.851e-06,"+1.00000000E+00
","+1.00000000E-01
"
8,0.36892675,-5.62e-07,"+1.00000000E+00
","+1.00000000E-01
"
9,0.37270461,-1.395e-06,"+1.00000000E+00
","+1.00000000E-01
"
10,0.3792533,-3.02e-07,"+1.00000000E+00
","+1.00000000E-01
"
11,0.38299079,1.04e-07,"+1.00000000E+00
","+1.00000000E-01
"
12,0.38868486,1.87e-07,"+1.00000000E+00
","+1.00000000E-01
"
13,0.3933115,7.81e-07,"+1.00000000E+00
","+1.00000000E-01
"
14,0.39774444,1.717e-06,"+1.00000000E+00
","+1.00000000E-01
"
15,0.36957033,1.103e-06,"+1.00000000E+00
","+1.00000000E-01
"
16,0.37716338,15.343626,"+1.00000000E+00
","+1.00000000E+02
"
17,0.38012897,16.394883,"+1.00000000E+00
","+1.00000000E+02
"
18,0.38336105,17.291353,"+1.00000000E+00
","+1.00000000E+02
"
19,0.38647254,18.022181,"+1.00000000E+00
","+1.00000000E+02
"
20,0.38922174,18.965282,"+1.00000000E+00
","+1.00000000E+02
"
21,0.39266814,19.912664,"+1.00000000E+00
","+1.00000000E+02
"
22,0.3954011,20.66169,"+1.00000000E+00
","+1.00000000E+02
"
23,0.39832274,21.701261,"+1.00000000E+00
","+1.00000000E+02
"
24,0.40155065,22.657706,"+1.00000000E+00
","+1.00000000E+02
"
25,0.40439176,23.529308,"+1.00000000E+00
","+1.00000000E+02
"
26,0.40751674,24.537811,"+1.00000000E+00
","+1.00000000E+02
"
27,0.41054279,25.423674,"+1.00000000E+00
","+1.00000000E+02
"
28,0.41331016,26.18934,"+1.00000000E+00
","+1.00000000E+02
"
29,0.41619133,27.112702,"+1.00000000E+00
","+1.00000000E+02
"
30,0.41881948,28.066832,"+1.00000000E+00
","+1.00000000E+02
"
31,0.4220176,29.140516,"+1.00000000E+00
","+1.00000000E+02
"
32,0.4246946,30.052977,"+1.00000000E+00
","+1.00000000E+02
"
