,Tensión,Tensión Corriente
0,0.37987203,130.75209
1,0.64333654,127.72268
2,0.64207496,126.88947
3,0.64047902,125.82724
4,0.63907699,124.87937
5,0.63754167,124.18807
6,0.63608447,123.349
7,0.63412258,122.52763
8,0.63286706,121.76271
9,0.63114455,120.74174
10,0.6295537,119.43063
11,0.62808531,118.98807
12,0.62645343,117.93757
13,0.6246431,117.40245
14,0.62302486,116.46827
15,0.62099589,115.88106
16,0.61938786,114.81492
17,0.61800314,114.03988
18,0.61657219,113.31133
19,0.61502197,112.49177
20,0.61349227,111.68656
21,0.61205768,110.85072
22,0.60995392,110.45365
23,0.6084912,109.44278
24,0.60671813,108.74204
25,0.60529187,108.09495
26,0.603218,107.24843
27,0.60187404,106.38706
28,0.60039965,105.48904
29,0.59929975,104.86829
30,0.5971899,104.01785
31,0.59534895,103.26771
32,0.59381633,102.37524
33,0.59218966,101.54738
34,0.59071621,100.9451
35,0.5888911,100.1609
36,0.58692,99.241899
37,0.58551885,98.592071
38,0.58409926,97.835022
39,0.58204383,97.136972
40,0.58055382,96.455223
41,0.5791885,95.622309
42,0.57764203,94.877755
43,0.57562249,94.070914
44,0.57403237,93.454272
45,0.57189153,92.711306
46,0.57063548,91.728711
47,0.56866422,91.027787
48,0.56694931,90.334392
49,0.56522165,89.634816
50,0.56344425,88.820303
51,0.56220414,87.846218
52,0.56039788,87.089378
53,0.55886328,86.365411
54,0.55737859,85.723048
55,0.55547478,84.934957
56,0.55396738,84.281132
57,0.55212778,83.532563
58,0.55023131,82.859984
59,0.54864183,82.034284
60,0.54677369,81.238778
61,0.54499393,80.477464
62,0.54356913,79.838008
63,0.54180808,79.095959
64,0.5405863,78.226232
65,0.53852316,77.489486
66,0.53677294,76.775033
67,0.53502866,76.09072
68,0.53319205,75.296952
69,0.53181954,74.489832
70,0.52997651,73.560235
71,0.5281991,72.883754
72,0.52618326,72.352575
73,0.52509033,71.623087
74,0.52299236,70.674137
75,0.52096464,70.132061
76,0.51967057,69.41836
77,0.51785098,68.545256
78,0.51617347,67.884385
79,0.51447919,67.148749
80,0.51258913,66.49618
81,0.51089746,65.724994
82,0.50925849,64.964462
83,0.50724004,64.279765
84,0.50566357,63.486873
85,0.50418148,62.721803
86,0.50235424,61.851281
87,0.50075006,61.273084
88,0.4990837,60.475978
89,0.49709379,59.859514
90,0.49522534,59.083445
91,0.49370554,58.544308
92,0.49169486,57.805242
93,0.48987735,56.932711
94,0.48836161,56.24151
95,0.48617639,55.60679
96,0.48455169,54.792025
97,0.48261272,54.286207
98,0.48091258,53.512325
99,0.4793259,52.893737
100,0.47730214,52.03438
101,0.475444,51.315263
102,0.47391014,50.58819
103,0.47216982,49.88395
104,0.47004508,49.260207
105,0.46879757,48.476748
106,0.46668787,47.971998
107,0.46460817,47.117838
108,0.46298691,46.338844
109,0.46119185,45.693707
110,0.45929236,45.07033
111,0.45766391,44.375533
112,0.45594338,43.519982
113,0.45387066,42.890573
114,0.45201263,42.313201
115,0.4504082,41.671965
116,0.44860381,40.910828
117,0.44696818,40.239512
118,0.44480046,39.662318
119,0.44321066,38.874227
120,0.44091887,38.09479
121,0.4395204,37.646626
122,0.43714215,36.931849
123,0.43539662,36.153554
124,0.43362276,35.505772
125,0.43179483,34.83887
126,0.42981374,34.262366
127,0.42816509,33.506895
128,0.42649664,33.020225
129,0.42475121,32.285474
130,0.42232953,31.655198
131,0.42062338,30.972267
132,0.41877311,30.259434
133,0.41650111,29.730252
134,0.41453704,29.016454
135,0.41295422,28.39197
136,0.410954,27.843152
137,0.40921034,27.223465
138,0.40738051,26.580412
139,0.40518393,25.958897
140,0.40329642,25.314171
141,0.40152589,24.662145
142,0.39967452,24.026902
143,0.39759729,23.312282
144,0.39542957,22.771995
145,0.39411696,22.124864
146,0.39159986,21.643261
147,0.38960005,21.008311
148,0.38770187,20.500228
149,0.38526633,19.826653
150,0.38340882,19.151052
151,0.38158537,18.65817
152,0.3795764,18.065408
153,0.37770129,17.496242
154,0.37582739,16.848934
155,0.3736729,16.353512
156,0.3715007,15.704393
157,0.36939933,15.18967
158,0.3671013,14.607667
159,0.36532646,14.118006
160,0.36339801,13.638958
161,0.360693,13.030447
162,0.35882424,12.515963
163,0.35688402,12.183845
164,0.35454958,11.530839
165,0.35249863,10.97439
166,0.35011788,10.516502
167,0.34818568,9.9058998
168,0.34607265,9.6919052
169,0.34393085,9.2103132
170,0.34228188,8.9223202
171,0.34022311,8.2344141
172,0.33841112,7.9179684
173,0.33626517,7.5650377
174,0.33416138,6.9814179
175,0.33276991,6.4416522
176,0.33025302,6.2153054
177,0.34086468,0.000225842
178,0.33609444,0.000183002
179,0.3332671,0.000164391
180,0.33000271,0.000155504
181,0.32641092,0.000146052
182,0.32359648,0.000139932
183,0.3208674,0.000136222
184,0.31744905,0.000129568
185,0.31446057,0.000124108
186,0.31153577,0.000120681
187,0.30837033,0.000116259
188,0.30491052,0.000113681
189,0.30221807,0.000110715
190,0.29822857,0.000108734
191,0.29539449,0.000110359
192,0.29176057,0.000109217
193,0.28926733,0.000105255
194,0.28557189,0.000104155
195,0.28239029,0.000100602
196,0.27931871,9.6306e-05
197,0.27675077,9.3906e-05
198,0.27319679,9.3131e-05
199,0.26989746,9.2533e-05
200,0.26725099,9.2848e-05
201,0.26390326,9.1003e-05
202,0.26084051,8.9693e-05
203,0.25797414,8.9316e-05
204,0.25426641,8.6005e-05
205,0.25115468,8.3951e-05
206,0.24789737,8.3552e-05
207,0.24465142,8.1656e-05
208,0.24220619,8.3898e-05
209,0.23893688,8.3322e-05
210,0.23529717,8.2924e-05
211,0.23183663,8.175e-05
212,0.229249,8.2295e-05
213,0.22602898,7.7747e-05
214,0.22295469,7.5546e-05
215,0.21977764,7.5808e-05
216,0.2165095,7.3146e-05
217,0.21370781,7.454e-05
218,0.20984727,7.5221e-05
