,Tensión,Tensión Corriente,ET,ETC
0,0.32984391,1.01e-06,"+1.00000000E+00
","+1.00000000E-01
"
1,0.3406632,5.517e-06,"+1.00000000E+00
","+1.00000000E-01
"
2,0.35020184,2.571e-06,"+1.00000000E+00
","+1.00000000E-01
"
3,0.35942577,4.892e-06,"+1.00000000E+00
","+1.00000000E-01
"
4,0.37006882,3.414e-06,"+1.00000000E+00
","+1.00000000E-01
"
5,0.37846497,3.872e-06,"+1.00000000E+00
","+1.00000000E-01
"
6,0.38871132,4.465e-06,"+1.00000000E+00
","+1.00000000E-01
"
7,0.39817275,3.435e-06,"+1.00000000E+00
","+1.00000000E-01
"
8,0.40751538,7.411e-06,"+1.00000000E+00
","+1.00000000E-01
"
9,0.41700947,3.081e-06,"+1.00000000E+00
","+1.00000000E-01
"
10,0.42616981,-1.041e-06,"+1.00000000E+00
","+1.00000000E-01
"
11,0.43592464,-4.882e-06,"+1.00000000E+00
","+1.00000000E-01
"
12,0.44542834,2.581e-06,"+1.00000000E+00
","+1.00000000E-01
"
13,0.45559738,6.016e-06,"+1.00000000E+00
","+1.00000000E-01
"
14,0.46466829,9.284e-06,"+1.00000000E+00
","+1.00000000E-01
"
15,0.47434824,4.267e-06,"+1.00000000E+00
","+1.00000000E-01
"
16,0.48386481,3.851e-06,"+1.00000000E+00
","+1.00000000E-01
"
17,0.49292869,4.725e-06,"+1.00000000E+00
","+1.00000000E-01
"
18,0.50244002,4.257e-06,"+1.00000000E+00
","+1.00000000E-01
"
19,0.44926258,5.714e-06,"+1.00000000E+00
","+1.00000000E-01
"
20,0.45532952,33.707518,"+1.00000000E+00
","+1.00000000E+02
"
21,0.46000271,36.391815,"+1.00000000E+00
","+1.00000000E+02
"
22,0.465126,38.705143,"+1.00000000E+00
","+1.00000000E+02
"
23,0.47030062,41.230835,"+1.00000000E+00
","+1.00000000E+02
"
24,0.47554375,43.421784,"+1.00000000E+00
","+1.00000000E+02
"
25,0.48120924,45.689515,"+1.00000000E+00
","+1.00000000E+02
"
26,0.48654087,47.659738,"+1.00000000E+00
","+1.00000000E+02
"
27,0.49171225,50.016748,"+1.00000000E+00
","+1.00000000E+02
"
28,0.4967553,52.361106,"+1.00000000E+00
","+1.00000000E+02
"
29,0.50218366,54.633075,"+1.00000000E+00
","+1.00000000E+02
"
30,0.50800166,56.859274,"+1.00000000E+00
","+1.00000000E+02
"
31,0.51327993,59.274672,"+1.00000000E+00
","+1.00000000E+02
"
32,0.51808545,61.412864,"+1.00000000E+00
","+1.00000000E+02
"
33,0.52409138,63.481787,"+1.00000000E+00
","+1.00000000E+02
"
34,0.52906917,65.883376,"+1.00000000E+00
","+1.00000000E+02
"
35,0.53369875,68.208064,"+1.00000000E+00
","+1.00000000E+02
"
36,0.53950408,70.425549,"+1.00000000E+00
","+1.00000000E+02
"
37,0.54444702,72.729625,"+1.00000000E+00
","+1.00000000E+02
"
38,0.55014853,75.21272,"+1.00000000E+00
","+1.00000000E+02
"
39,0.55484515,77.454929,"+1.00000000E+00
","+1.00000000E+02
"
40,0.55960643,79.423589,"+1.00000000E+00
","+1.00000000E+02
"
41,0.56545976,81.749596,"+1.00000000E+00
","+1.00000000E+02
"
42,0.57011257,84.030112,"+1.00000000E+00
","+1.00000000E+02
"
43,0.57561216,86.487025,"+1.00000000E+00
","+1.00000000E+02
"
44,0.58027596,89.052936,"+1.00000000E+00
","+1.00000000E+02
"
45,0.58535131,91.317454,"+1.00000000E+00
","+1.00000000E+02
"
46,0.59060273,93.520016,"+1.00000000E+00
","+1.00000000E+02
"
47,0.59535217,95.786012,"+1.00000000E+00
","+1.00000000E+02
"
48,0.60122141,98.091893,"+1.00000000E+00
","+1.00000000E+02
"
49,0.60610902,100.41589,"+1.00000000E+00
","+1.00000000E+02
"
50,0.61108032,102.88572,"+1.00000000E+00
","+1.00000000E+02
"
51,0.61581272,105.17946,"+1.00000000E+00
","+1.00000000E+02
"
52,0.62150602,107.65118,"+1.00000000E+00
","+1.00000000E+02
"
53,0.62646852,109.67126,"+1.00000000E+00
","+1.00000000E+02
"
54,0.63137205,112.11877,"+1.00000000E+00
","+1.00000000E+02
"
55,0.63619366,114.76172,"+1.00000000E+00
","+1.00000000E+02
"
56,0.64163177,117.01928,"+1.00000000E+00
","+1.00000000E+02
"
57,0.64616439,119.35484,"+1.00000000E+00
","+1.00000000E+02
"
58,0.65081427,122.66457,"+1.00000000E+00
","+1.00000000E+03
"
59,0.65618783,125.18192,"+1.00000000E+00
","+1.00000000E+03
"
60,0.66083604,127.73151,"+1.00000000E+00
","+1.00000000E+03
"
61,0.66613984,129.79732,"+1.00000000E+00
","+1.00000000E+03
"
62,0.67124544,132.55469,"+1.00000000E+00
","+1.00000000E+03
"
63,0.67629141,134.88817,"+1.00000000E+00
","+1.00000000E+03
"
64,0.68083354,137.63778,"+1.00000000E+00
","+1.00000000E+03
"
65,0.68526064,139.97679,"+1.00000000E+00
","+1.00000000E+03
"
66,0.6907139,142.04072,"+1.00000000E+00
","+1.00000000E+03
"
67,0.69539211,144.78797,"+1.00000000E+00
","+1.00000000E+03
"
68,0.70028056,147.11568,"+1.00000000E+00
","+1.00000000E+03
"
69,0.70529391,149.7832,"+1.00000000E+00
","+1.00000000E+03
"
70,0.15023072,0.005889,"+1.00000000E+00
","+1.00000000E+02
"
71,0.042030858,2.8353e-05,"+1.00000000E-01
","+1.00000000E-01
"
72,0.012370834,1.4759e-05,"+1.00000000E-01
","+1.00000000E-01
"
73,0.003842062,9.67e-06,"+1.00000000E-01
","+1.00000000E-01
"
74,0.001458882,7.14e-06,"+1.00000000E-01
","+1.00000000E-01
"
75,0.000816693,6.38e-06,"+1.00000000E-01
","+1.00000000E-01
"
76,0.000550872,5.048e-06,"+1.00000000E-01
","+1.00000000E-01
"
77,0.000418171,5.402e-06,"+1.00000000E-01
","+1.00000000E-01
"
78,0.000344438,4.361e-06,"+1.00000000E-01
","+1.00000000E-01
"
79,0.000298108,4.455e-06,"+1.00000000E-01
","+1.00000000E-01
"
