,Tensión,Tensión Corriente,ET,ETC
0,0.34611082,2.3648e-05,"+1.00000000E+00
","+1.00000000E-01
"
1,0.34087323,4.653e-06,"+1.00000000E+00
","+1.00000000E-01
"
2,0.35029106,4.684e-06,"+1.00000000E+00
","+1.00000000E-01
"
3,0.35937661,2.914e-06,"+1.00000000E+00
","+1.00000000E-01
"
4,0.36887582,4.039e-06,"+1.00000000E+00
","+1.00000000E-01
"
5,0.37939817,3.029e-06,"+1.00000000E+00
","+1.00000000E-01
"
6,0.38886539,4.299e-06,"+1.00000000E+00
","+1.00000000E-01
"
7,0.39795415,4.507e-06,"+1.00000000E+00
","+1.00000000E-01
"
8,0.407418,2.623e-06,"+1.00000000E+00
","+1.00000000E-01
"
9,0.41712055,3.643e-06,"+1.00000000E+00
","+1.00000000E-01
"
10,0.42623235,3.081e-06,"+1.00000000E+00
","+1.00000000E-01
"
11,0.43580362,3.81e-06,"+1.00000000E+00
","+1.00000000E-01
"
12,0.4453476,3.289e-06,"+1.00000000E+00
","+1.00000000E-01
"
13,0.45573513,3.56e-06,"+1.00000000E+00
","+1.00000000E-01
"
14,0.46475103,3.279e-06,"+1.00000000E+00
","+1.00000000E-01
"
15,0.47421634,3.914e-06,"+1.00000000E+00
","+1.00000000E-01
"
16,0.48377267,3.362e-06,"+1.00000000E+00
","+1.00000000E-01
"
17,0.43108473,4.195e-06,"+1.00000000E+00
","+1.00000000E-01
"
18,0.44094154,31.774245,"+1.00000000E+00
","+1.00000000E+02
"
19,0.44599723,33.685131,"+1.00000000E+00
","+1.00000000E+02
"
20,0.45195822,35.783455,"+1.00000000E+00
","+1.00000000E+02
"
21,0.45749515,37.948721,"+1.00000000E+00
","+1.00000000E+02
"
22,0.46307625,39.926291,"+1.00000000E+00
","+1.00000000E+02
"
23,0.46881966,42.300155,"+1.00000000E+00
","+1.00000000E+02
"
24,0.47473314,43.962596,"+1.00000000E+00
","+1.00000000E+02
"
25,0.48031893,46.083047,"+1.00000000E+00
","+1.00000000E+02
"
26,0.48555339,48.436258,"+1.00000000E+00
","+1.00000000E+02
"
27,0.4908552,50.461855,"+1.00000000E+00
","+1.00000000E+02
"
28,0.49677642,52.858658,"+1.00000000E+00
","+1.00000000E+02
"
29,0.50153015,54.937172,"+1.00000000E+00
","+1.00000000E+02
"
30,0.50723111,57.30423,"+1.00000000E+00
","+1.00000000E+02
"
31,0.51225992,59.102806,"+1.00000000E+00
","+1.00000000E+02
"
32,0.51783965,61.436836,"+1.00000000E+00
","+1.00000000E+02
"
33,0.52380762,63.821039,"+1.00000000E+00
","+1.00000000E+02
"
34,0.52881166,66.200568,"+1.00000000E+00
","+1.00000000E+02
"
35,0.53409339,68.419599,"+1.00000000E+00
","+1.00000000E+02
"
36,0.53893185,70.739308,"+1.00000000E+00
","+1.00000000E+02
"
37,0.54422853,73.011762,"+1.00000000E+00
","+1.00000000E+02
"
38,0.54958999,74.963393,"+1.00000000E+00
","+1.00000000E+02
"
39,0.55465133,77.397126,"+1.00000000E+00
","+1.00000000E+02
"
40,0.55978643,79.64119,"+1.00000000E+00
","+1.00000000E+02
"
41,0.5647801,81.816191,"+1.00000000E+00
","+1.00000000E+02
"
42,0.56898995,84.197476,"+1.00000000E+00
","+1.00000000E+02
"
43,0.57541144,86.57719,"+1.00000000E+00
","+1.00000000E+02
"
44,0.58059915,91.296693,"+1.00000000E+00
","+1.00000000E+02
"
45,0.56846687,99.399951,"+1.00000000E+00
","+1.00000000E+02
"
46,0.57223103,102.48955,"+1.00000000E+00
","+1.00000000E+02
"
47,0.57540318,105.69669,"+1.00000000E+00
","+1.00000000E+02
"
48,0.57882198,108.96265,"+1.00000000E+00
","+1.00000000E+02
"
49,0.5810691,112.7004,"+1.00000000E+00
","+1.00000000E+02
"
50,0.58367602,116.17841,"+1.00000000E+00
","+1.00000000E+02
"
51,0.58424261,121.74478,"+1.00000000E+00
","+1.00000000E+03
"
52,0.58810448,125.27782,"+1.00000000E+00
","+1.00000000E+03
"
53,0.59164773,128.6683,"+1.00000000E+00
","+1.00000000E+03
"
54,0.59604919,131.43986,"+1.00000000E+00
","+1.00000000E+03
"
55,0.5993796,134.75512,"+1.00000000E+00
","+1.00000000E+03
"
56,0.60306018,137.54657,"+1.00000000E+00
","+1.00000000E+03
"
57,0.60722714,140.50629,"+1.00000000E+00
","+1.00000000E+03
"
58,0.61097489,143.96837,"+1.00000000E+00
","+1.00000000E+03
"
59,0.61485965,146.80908,"+1.00000000E+00
","+1.00000000E+03
"
60,0.6184529,149.85833,"+1.00000000E+00
","+1.00000000E+03
"
61,0.15323719,0.000302,"+1.00000000E+00
","+1.00000000E+02
"
62,0.042697349,2.7541e-05,"+1.00000000E-01
","+1.00000000E-01
"
63,0.012535424,1.2834e-05,"+1.00000000E-01
","+1.00000000E-01
"
64,0.003841486,1.0638e-05,"+1.00000000E-01
","+1.00000000E-01
"
