,Tensión,Tensión Corriente,ET,ETC
0,0.35094948,6.9841e-05,"+1.00000000E+00
","+1.00000000E-01
"
1,0.33959655,5.777e-06,"+1.00000000E+00
","+1.00000000E-01
"
2,0.3502328,4.538e-06,"+1.00000000E+00
","+1.00000000E-01
"
3,0.36057726,3.747e-06,"+1.00000000E+00
","+1.00000000E-01
"
4,0.36899851,4.049e-06,"+1.00000000E+00
","+1.00000000E-01
"
5,0.37850765,2.831e-06,"+1.00000000E+00
","+1.00000000E-01
"
6,0.38875242,6.006e-06,"+1.00000000E+00
","+1.00000000E-01
"
7,0.39738725,3.945e-06,"+1.00000000E+00
","+1.00000000E-01
"
8,0.40754948,5.225e-06,"+1.00000000E+00
","+1.00000000E-01
"
9,0.41704294,4.653e-06,"+1.00000000E+00
","+1.00000000E-01
"
10,0.42619993,3.633e-06,"+1.00000000E+00
","+1.00000000E-01
"
11,0.43593123,5.121e-06,"+1.00000000E+00
","+1.00000000E-01
"
12,0.4463197,5.537e-06,"+1.00000000E+00
","+1.00000000E-01
"
13,0.45568409,-5.62e-07,"+1.00000000E+00
","+1.00000000E-01
"
14,0.4646959,5.163e-06,"+1.00000000E+00
","+1.00000000E-01
"
15,0.47433704,5.256e-06,"+1.00000000E+00
","+1.00000000E-01
"
16,0.48386795,4.143e-06,"+1.00000000E+00
","+1.00000000E-01
"
17,0.49295223,7.65e-06,"+1.00000000E+00
","+1.00000000E-01
"
18,0.50246659,3.539e-06,"+1.00000000E+00
","+1.00000000E-01
"
19,0.51288676,4.965e-06,"+1.00000000E+00
","+1.00000000E-01
"
20,0.52261064,4.403e-06,"+1.00000000E+00
","+1.00000000E-01
"
21,0.53153343,3.601e-06,"+1.00000000E+00
","+1.00000000E-01
"
22,0.54132864,6.838e-06,"+1.00000000E+00
","+1.00000000E-01
"
23,0.55067903,4.496e-06,"+1.00000000E+00
","+1.00000000E-01
"
24,0.5610922,5.933e-06,"+1.00000000E+00
","+1.00000000E-01
"
25,0.57060353,5.475e-06,"+1.00000000E+00
","+1.00000000E-01
"
26,0.57965958,5.402e-06,"+1.00000000E+00
","+1.00000000E-01
"
27,0.58918892,5.402e-06,"+1.00000000E+00
","+1.00000000E-01
"
28,0.59940847,6.557e-06,"+1.00000000E+00
","+1.00000000E-01
"
29,0.60895726,4.382e-06,"+1.00000000E+00
","+1.00000000E-01
"
30,0.6180818,6.401e-06,"+1.00000000E+00
","+1.00000000E-01
"
31,0.62794278,4.684e-06,"+1.00000000E+00
","+1.00000000E-01
"
32,0.63721231,5.267e-06,"+1.00000000E+00
","+1.00000000E-01
"
33,0.64751753,6.453e-06,"+1.00000000E+00
","+1.00000000E-01
"
34,0.65688579,5.485e-06,"+1.00000000E+00
","+1.00000000E-01
"
35,0.66630541,5.433e-06,"+1.00000000E+00
","+1.00000000E-01
"
36,0.6757585,5.225e-06,"+1.00000000E+00
","+1.00000000E-01
"
37,0.68480231,7.4e-06,"+1.00000000E+00
","+1.00000000E-01
"
38,0.69436823,4.58e-06,"+1.00000000E+00
","+1.00000000E-01
"
39,0.70408887,7.005e-06,"+1.00000000E+00
","+1.00000000E-01
"
40,0.71318937,5.027e-06,"+1.00000000E+00
","+1.00000000E-01
"
41,0.72264935,4.476e-06,"+1.00000000E+00
","+1.00000000E-01
"
42,0.73289859,5.6e-06,"+1.00000000E+00
","+1.00000000E-01
"
43,0.74258262,6.11e-06,"+1.00000000E+00
","+1.00000000E-01
"
44,0.75167392,7.786e-06,"+1.00000000E+00
","+1.00000000E-01
"
45,0.76127802,4.32e-06,"+1.00000000E+00
","+1.00000000E-01
"
46,0.77092577,8.972e-06,"+1.00000000E+00
","+1.00000000E-01
"
47,0.7800339,5.496e-06,"+1.00000000E+00
","+1.00000000E-01
"
48,0.79023148,6.922e-06,"+1.00000000E+00
","+1.00000000E-01
"
49,0.79938544,3.789e-06,"+1.00000000E+00
","+1.00000000E-01
"
50,0.80941942,7.317e-06,"+1.00000000E+00
","+1.00000000E-01
"
51,0.81862316,6.838e-06,"+1.00000000E+00
","+1.00000000E-01
"
52,0.82922939,6.62e-06,"+1.00000000E+00
","+1.00000000E-01
"
53,0.83834682,5.964e-06,"+1.00000000E+00
","+1.00000000E-01
"
