,Tensión,Tensión Corriente,ET,ETC
0,5.1946e-05,4.58e-07,"+1.00000000E-01
","+1.00000000E-01
"
1,0.28060331,1.697e-06,"+1.00000000E+00
","+1.00000000E-01
"
2,0.24572141,2.5865e-05,"+1.00000000E+00
","+1.00000000E-01
"
3,0.25065232,8.275e-06,"+1.00000000E+00
","+1.00000000E-01
"
4,0.25523266,2.415e-06,"+1.00000000E+00
","+1.00000000E-01
"
5,0.26091613,6.016e-06,"+1.00000000E+00
","+1.00000000E-01
"
6,0.26477308,2.321e-06,"+1.00000000E+00
","+1.00000000E-01
"
7,0.27003315,4.798e-06,"+1.00000000E+00
","+1.00000000E-01
"
8,0.27386196,3.05e-06,"+1.00000000E+00
","+1.00000000E-01
"
9,0.27934399,3.06e-06,"+1.00000000E+00
","+1.00000000E-01
"
10,0.28421529,3.247e-06,"+1.00000000E+00
","+1.00000000E-01
"
11,0.28917695,1.041e-06,"+1.00000000E+00
","+1.00000000E-01
"
12,0.29368439,3.945e-06,"+1.00000000E+00
","+1.00000000E-01
"
13,0.29825728,1.478e-06,"+1.00000000E+00
","+1.00000000E-01
"
14,0.30338064,4.091e-06,"+1.00000000E+00
","+1.00000000E-01
"
15,0.30901758,7.29e-07,"+1.00000000E+00
","+1.00000000E-01
"
16,0.31348953,4.736e-06,"+1.00000000E+00
","+1.00000000E-01
"
17,0.31750724,1.322e-06,"+1.00000000E+00
","+1.00000000E-01
"
18,0.32309563,4.673e-06,"+1.00000000E+00
","+1.00000000E-01
"
19,0.32765788,1.239e-06,"+1.00000000E+00
","+1.00000000E-01
"
20,0.33223641,4.049e-06,"+1.00000000E+00
","+1.00000000E-01
"
21,0.3367637,2.654e-06,"+1.00000000E+00
","+1.00000000E-01
"
22,0.34187912,2.685e-06,"+1.00000000E+00
","+1.00000000E-01
"
23,0.33066895,0.014547231,"+1.00000000E+00
","+1.00000000E-01
"
24,0.33478821,8.2089766,"+1.00000000E+00
","+1.00000000E+01
"
25,0.33868657,8.7338582,"+1.00000000E+00
","+1.00000000E+01
"
26,0.34219688,9.2855893,"+1.00000000E+00
","+1.00000000E+01
"
27,0.34624753,9.7818908,"+1.00000000E+00
","+1.00000000E+01
"
28,0.34952448,10.252249,"+1.00000000E+00
","+1.00000000E+01
"
29,0.35394278,10.851563,"+1.00000000E+00
","+1.00000000E+01
"
30,0.35657556,11.743464,"+1.00000000E+00
","+1.00000000E+02
"
31,0.3607535,12.358381,"+1.00000000E+00
","+1.00000000E+02
"
32,0.36376541,12.728767,"+1.00000000E+00
","+1.00000000E+02
"
33,0.36747707,13.35569,"+1.00000000E+00
","+1.00000000E+02
"
34,0.37078185,13.969744,"+1.00000000E+00
","+1.00000000E+02
"
35,0.37558515,14.659212,"+1.00000000E+00
","+1.00000000E+02
"
36,0.37910426,15.230949,"+1.00000000E+00
","+1.00000000E+02
"
37,0.38261676,15.887735,"+1.00000000E+00
","+1.00000000E+02
"
38,0.38588304,16.496648,"+1.00000000E+00
","+1.00000000E+02
"
39,0.38970319,17.17238,"+1.00000000E+00
","+1.00000000E+02
"
40,0.39300619,17.847104,"+1.00000000E+00
","+1.00000000E+02
"
41,0.39626808,18.516916,"+1.00000000E+00
","+1.00000000E+02
"
42,0.40046914,19.175482,"+1.00000000E+00
","+1.00000000E+02
"
43,0.40354674,19.778683,"+1.00000000E+00
","+1.00000000E+02
"
44,0.40680236,20.496452,"+1.00000000E+00
","+1.00000000E+02
"
45,0.41085239,20.956844,"+1.00000000E+00
","+1.00000000E+02
"
46,0.41444135,21.721262,"+1.00000000E+00
","+1.00000000E+02
"
47,0.41685153,22.280298,"+1.00000000E+00
","+1.00000000E+02
"
48,0.42042075,23.195862,"+1.00000000E+00
","+1.00000000E+02
"
49,0.42467306,23.691409,"+1.00000000E+00
","+1.00000000E+02
"
50,0.42790765,24.431314,"+1.00000000E+00
","+1.00000000E+02
"
51,0.43105293,25.075944,"+1.00000000E+00
","+1.00000000E+02
"
52,0.43457725,26.148599,"+1.00000000E+00
","+1.00000000E+02
"
53,0.43814979,26.698606,"+1.00000000E+00
","+1.00000000E+02
"
54,0.4417807,27.474668,"+1.00000000E+00
","+1.00000000E+02
"
55,0.44536559,28.18619,"+1.00000000E+00
","+1.00000000E+02
"
56,0.44882203,28.853439,"+1.00000000E+00
","+1.00000000E+02
"
57,0.45214492,29.705804,"+1.00000000E+00
","+1.00000000E+02
"
58,0.45554843,30.31874,"+1.00000000E+00
","+1.00000000E+02
"
59,0.45863367,31.024502,"+1.00000000E+00
","+1.00000000E+02
"
60,0.46227255,31.71885,"+1.00000000E+00
","+1.00000000E+02
"
61,0.4655199,32.548963,"+1.00000000E+00
","+1.00000000E+02
"
62,0.46949618,33.544925,"+1.00000000E+00
","+1.00000000E+02
"
63,0.47208941,34.142282,"+1.00000000E+00
","+1.00000000E+02
"
64,0.47492215,35.034052,"+1.00000000E+00
","+1.00000000E+02
"
65,0.47884853,35.471661,"+1.00000000E+00
","+1.00000000E+02
"
66,0.48193962,36.286287,"+1.00000000E+00
","+1.00000000E+02
"
67,0.48555538,37.321524,"+1.00000000E+00
","+1.00000000E+02
"
68,0.48880681,38.196808,"+1.00000000E+00
","+1.00000000E+02
"
69,0.49098573,38.947033,"+1.00000000E+00
","+1.00000000E+02
"
70,0.49504601,39.703841,"+1.00000000E+00
","+1.00000000E+02
"
71,0.49839681,40.301751,"+1.00000000E+00
","+1.00000000E+02
"
72,0.50202959,41.01337,"+1.00000000E+00
","+1.00000000E+02
"
73,0.50504613,42.134469,"+1.00000000E+00
","+1.00000000E+02
"
74,0.5079274,42.752637,"+1.00000000E+00
","+1.00000000E+02
"
75,0.51184458,43.591869,"+1.00000000E+00
","+1.00000000E+02
"
76,0.51532163,44.63709,"+1.00000000E+00
","+1.00000000E+02
"
77,0.51810051,45.267113,"+1.00000000E+00
","+1.00000000E+02
"
78,0.52195922,46.291116,"+1.00000000E+00
","+1.00000000E+02
"
79,0.52490275,46.953528,"+1.00000000E+00
","+1.00000000E+02
"
80,0.52813567,47.636079,"+1.00000000E+00
","+1.00000000E+02
"
81,0.53099769,48.670409,"+1.00000000E+00
","+1.00000000E+02
"
82,0.53412727,49.508569,"+1.00000000E+00
","+1.00000000E+02
"
83,0.53702268,50.142516,"+1.00000000E+00
","+1.00000000E+02
"
84,0.54025905,51.129435,"+1.00000000E+00
","+1.00000000E+02
"
85,0.54402634,52.123713,"+1.00000000E+00
","+1.00000000E+02
"
86,0.5458775,52.757706,"+1.00000000E+00
","+1.00000000E+02
"
87,0.54991403,53.586537,"+1.00000000E+00
","+1.00000000E+02
"
88,0.55297572,54.58805,"+1.00000000E+00
","+1.00000000E+02
"
89,0.55560315,55.328995,"+1.00000000E+00
","+1.00000000E+02
"
90,0.55857627,56.16533,"+1.00000000E+00
","+1.00000000E+02
"
91,0.56162479,57.03902,"+1.00000000E+00
","+1.00000000E+02
"
92,0.56595931,57.76739,"+1.00000000E+00
","+1.00000000E+02
"
93,0.56804901,58.615717,"+1.00000000E+00
","+1.00000000E+02
"
94,0.57140159,59.57337,"+1.00000000E+00
","+1.00000000E+02
"
95,0.57498083,60.52228,"+1.00000000E+00
","+1.00000000E+02
"
96,0.57859773,61.037081,"+1.00000000E+00
","+1.00000000E+02
"
