,Tensión,Tensión Corriente,ET,ETC
0,5.5719e-05,1.124e-06,"+1.00000000E-01
","+1.00000000E-01
"
1,4.721e-05,9.89e-07,"+1.00000000E-01
","+1.00000000E-01
"
2,4.9274e-05,1.322e-06,"+1.00000000E-01
","+1.00000000E-01
"
3,0.24773099,0.000114015,"+1.00000000E+00
","+1.00000000E-01
"
4,0.25076465,5.111e-06,"+1.00000000E+00
","+1.00000000E-01
"
5,0.25406151,4.6505e-05,"+1.00000000E+00
","+1.00000000E-01
"
6,0.2581108,2.311e-06,"+1.00000000E+00
","+1.00000000E-01
"
7,0.26203509,7.317e-06,"+1.00000000E+00
","+1.00000000E-01
"
8,0.26439193,3.175e-06,"+1.00000000E+00
","+1.00000000E-01
"
9,0.26827616,3.757e-06,"+1.00000000E+00
","+1.00000000E-01
"
10,0.27206155,1.478e-06,"+1.00000000E+00
","+1.00000000E-01
"
11,0.27568934,-1.5561e-05,"+1.00000000E+00
","+1.00000000E-01
"
12,0.27847376,9.47e-07,"+1.00000000E+00
","+1.00000000E-01
"
13,0.28236364,3.716e-06,"+1.00000000E+00
","+1.00000000E-01
"
14,0.28628721,3.841e-06,"+1.00000000E+00
","+1.00000000E-01
"
15,0.28975902,3.768e-06,"+1.00000000E+00
","+1.00000000E-01
"
16,0.29377978,3.518e-06,"+1.00000000E+00
","+1.00000000E-01
"
17,0.29722221,4.778e-06,"+1.00000000E+00
","+1.00000000E-01
"
18,0.30037814,3.404e-06,"+1.00000000E+00
","+1.00000000E-01
"
19,0.30390288,2.8e-06,"+1.00000000E+00
","+1.00000000E-01
"
20,0.3080347,5.194e-06,"+1.00000000E+00
","+1.00000000E-01
"
21,0.31155264,2.227e-06,"+1.00000000E+00
","+1.00000000E-01
"
22,0.31448757,3.175e-06,"+1.00000000E+00
","+1.00000000E-01
"
23,0.31801347,-1.0825e-05,"+1.00000000E+00
","+1.00000000E-01
"
24,0.32192072,1.0773e-05,"+1.00000000E+00
","+1.00000000E-01
"
25,0.32592788,5.34e-06,"+1.00000000E+00
","+1.00000000E-01
"
