,Tensión,Tensión Corriente,ET,ETC
0,0.54888126,4.434e-06,"+1.00000000E+00
","+1.00000000E-01
"
1,0.57674023,69.245104,"+1.00000000E+00
","+1.00000000E+02
"
2,0.57430033,68.787273,"+1.00000000E+00
","+1.00000000E+02
"
3,0.57388352,68.31971,"+1.00000000E+00
","+1.00000000E+02
"
4,0.57168253,67.733106,"+1.00000000E+00
","+1.00000000E+02
"
5,0.57021611,67.336082,"+1.00000000E+00
","+1.00000000E+02
"
6,0.5691846,66.737983,"+1.00000000E+00
","+1.00000000E+02
"
7,0.56749299,66.398585,"+1.00000000E+00
","+1.00000000E+02
"
8,0.56583693,66.19962,"+1.00000000E+00
","+1.00000000E+02
"
9,0.56425535,65.435084,"+1.00000000E+00
","+1.00000000E+02
"
10,0.56305147,65.16262,"+1.00000000E+00
","+1.00000000E+02
"
11,0.56183691,64.498358,"+1.00000000E+00
","+1.00000000E+02
"
12,0.5600316,64.04843,"+1.00000000E+00
","+1.00000000E+02
"
13,0.55821406,63.50554,"+1.00000000E+00
","+1.00000000E+02
"
14,0.55683571,63.134135,"+1.00000000E+00
","+1.00000000E+02
"
15,0.55574625,62.590139,"+1.00000000E+00
","+1.00000000E+02
"
16,0.55406309,62.167278,"+1.00000000E+00
","+1.00000000E+02
"
17,0.55282375,61.932563,"+1.00000000E+00
","+1.00000000E+02
"
18,0.55132846,61.245281,"+1.00000000E+00
","+1.00000000E+02
"
19,0.54921324,60.894095,"+1.00000000E+00
","+1.00000000E+02
"
20,0.54787369,60.142088,"+1.00000000E+00
","+1.00000000E+02
"
21,0.54654377,59.872011,"+1.00000000E+00
","+1.00000000E+02
"
22,0.5454245,59.596956,"+1.00000000E+00
","+1.00000000E+02
"
23,0.54311627,58.907738,"+1.00000000E+00
","+1.00000000E+02
"
24,0.54162192,58.504947,"+1.00000000E+00
","+1.00000000E+02
"
25,0.54051123,58.048328,"+1.00000000E+00
","+1.00000000E+02
"
26,0.53845719,57.865892,"+1.00000000E+00
","+1.00000000E+02
"
27,0.53737558,57.412885,"+1.00000000E+00
","+1.00000000E+02
"
28,0.53537217,56.983979,"+1.00000000E+00
","+1.00000000E+02
"
29,0.53432088,56.550462,"+1.00000000E+00
","+1.00000000E+02
"
30,0.53245543,56.165038,"+1.00000000E+00
","+1.00000000E+02
"
31,0.53146356,55.795457,"+1.00000000E+00
","+1.00000000E+02
"
32,0.52961296,54.927771,"+1.00000000E+00
","+1.00000000E+02
"
33,0.52837738,54.508813,"+1.00000000E+00
","+1.00000000E+02
"
34,0.52653578,54.243883,"+1.00000000E+00
","+1.00000000E+02
"
35,0.52485442,53.747919,"+1.00000000E+00
","+1.00000000E+02
"
36,0.52331498,53.364826,"+1.00000000E+00
","+1.00000000E+02
"
37,0.52200775,52.929844,"+1.00000000E+00
","+1.00000000E+02
"
38,0.52093921,52.565964,"+1.00000000E+00
","+1.00000000E+02
"
39,0.5190565,51.737185,"+1.00000000E+00
","+1.00000000E+02
"
40,0.51730935,51.527662,"+1.00000000E+00
","+1.00000000E+02
"
41,0.51592399,51.00719,"+1.00000000E+00
","+1.00000000E+02
"
42,0.51394527,50.642539,"+1.00000000E+00
","+1.00000000E+02
"
43,0.51268782,50.406876,"+1.00000000E+00
","+1.00000000E+02
"
44,0.51072113,49.811915,"+1.00000000E+00
","+1.00000000E+02
"
45,0.51028643,49.508277,"+1.00000000E+00
","+1.00000000E+02
"
46,0.50882043,49.027515,"+1.00000000E+00
","+1.00000000E+02
"
47,0.50692622,48.525651,"+1.00000000E+00
","+1.00000000E+02
"
48,0.50522289,47.922395,"+1.00000000E+00
","+1.00000000E+02
"
49,0.50368869,47.446432,"+1.00000000E+00
","+1.00000000E+02
"
50,0.50225583,47.411079,"+1.00000000E+00
","+1.00000000E+02
"
51,0.50056495,46.710809,"+1.00000000E+00
","+1.00000000E+02
"
52,0.49882387,46.368482,"+1.00000000E+00
","+1.00000000E+02
"
53,0.4970058,45.733863,"+1.00000000E+00
","+1.00000000E+02
"
54,0.49575893,45.518857,"+1.00000000E+00
","+1.00000000E+02
"
55,0.49394075,45.037949,"+1.00000000E+00
","+1.00000000E+02
"
56,0.49294951,44.470445,"+1.00000000E+00
","+1.00000000E+02
"
57,0.49151101,44.289761,"+1.00000000E+00
","+1.00000000E+02
"
58,0.48955268,43.779119,"+1.00000000E+00
","+1.00000000E+02
"
59,0.48838331,43.412925,"+1.00000000E+00
","+1.00000000E+02
"
60,0.48614728,42.968372,"+1.00000000E+00
","+1.00000000E+02
"
61,0.4844519,42.300343,"+1.00000000E+00
","+1.00000000E+02
"
62,0.48293141,41.847596,"+1.00000000E+00
","+1.00000000E+02
"
63,0.48120369,41.468175,"+1.00000000E+00
","+1.00000000E+02
"
64,0.47961155,41.212178,"+1.00000000E+00
","+1.00000000E+02
"
65,0.47750187,40.642535,"+1.00000000E+00
","+1.00000000E+02
"
66,0.47613304,40.229033,"+1.00000000E+00
","+1.00000000E+02
"
67,0.47503417,39.927073,"+1.00000000E+00
","+1.00000000E+02
"
68,0.47320449,39.378243,"+1.00000000E+00
","+1.00000000E+02
"
69,0.47203178,38.996415,"+1.00000000E+00
","+1.00000000E+02
"
70,0.47004551,38.458589,"+1.00000000E+00
","+1.00000000E+02
"
71,0.4680693,38.135701,"+1.00000000E+00
","+1.00000000E+02
"
72,0.46672128,37.738757,"+1.00000000E+00
","+1.00000000E+02
"
73,0.46468785,37.316344,"+1.00000000E+00
","+1.00000000E+02
"
74,0.46385318,37.000835,"+1.00000000E+00
","+1.00000000E+02
"
75,0.46230434,36.606831,"+1.00000000E+00
","+1.00000000E+02
"
76,0.46120774,36.142676,"+1.00000000E+00
","+1.00000000E+02
"
77,0.45871378,35.743182,"+1.00000000E+00
","+1.00000000E+02
"
78,0.45748877,35.43141,"+1.00000000E+00
","+1.00000000E+02
"
79,0.45576003,34.85266,"+1.00000000E+00
","+1.00000000E+02
"
80,0.45440458,34.471507,"+1.00000000E+00
","+1.00000000E+02
"
81,0.45241613,34.078194,"+1.00000000E+00
","+1.00000000E+02
"
82,0.4513478,33.68511,"+1.00000000E+00
","+1.00000000E+02
"
83,0.44940734,33.388098,"+1.00000000E+00
","+1.00000000E+02
"
84,0.44765402,33.046845,"+1.00000000E+00
","+1.00000000E+02
"
85,0.44605905,32.578854,"+1.00000000E+00
","+1.00000000E+02
"
86,0.44487085,32.091214,"+1.00000000E+00
","+1.00000000E+02
"
87,0.44295217,31.664642,"+1.00000000E+00
","+1.00000000E+02
"
88,0.44181376,31.182934,"+1.00000000E+00
","+1.00000000E+02
"
89,0.43963451,30.88188,"+1.00000000E+00
","+1.00000000E+02
"
90,0.43840103,30.490464,"+1.00000000E+00
","+1.00000000E+02
"
91,0.43620443,30.147113,"+1.00000000E+00
","+1.00000000E+02
"
92,0.43446345,29.837753,"+1.00000000E+00
","+1.00000000E+02
"
93,0.4329712,29.255695,"+1.00000000E+00
","+1.00000000E+02
"
94,0.43139265,28.836795,"+1.00000000E+00
","+1.00000000E+02
"
95,0.43022318,28.553824,"+1.00000000E+00
","+1.00000000E+02
"
96,0.42815115,28.167377,"+1.00000000E+00
","+1.00000000E+02
"
97,0.42673253,27.814639,"+1.00000000E+00
","+1.00000000E+02
"
98,0.42458614,27.332401,"+1.00000000E+00
","+1.00000000E+02
"
99,0.42358004,27.015762,"+1.00000000E+00
","+1.00000000E+02
"
100,0.42137591,26.565709,"+1.00000000E+00
","+1.00000000E+02
"
101,0.41990657,26.094027,"+1.00000000E+00
","+1.00000000E+02
"
102,0.41832423,25.696857,"+1.00000000E+00
","+1.00000000E+02
"
103,0.41674212,25.281886,"+1.00000000E+00
","+1.00000000E+02
"
104,0.41562599,25.045625,"+1.00000000E+00
","+1.00000000E+02
"
105,0.41363409,24.653021,"+1.00000000E+00
","+1.00000000E+02
"
106,0.41175212,24.169501,"+1.00000000E+00
","+1.00000000E+02
"
107,0.40971921,23.819272,"+1.00000000E+00
","+1.00000000E+02
"
108,0.40857409,23.535103,"+1.00000000E+00
","+1.00000000E+02
"
109,0.40646138,23.068979,"+1.00000000E+00
","+1.00000000E+02
"
110,0.40547662,22.620654,"+1.00000000E+00
","+1.00000000E+02
"
111,0.40322961,22.390776,"+1.00000000E+00
","+1.00000000E+02
"
112,0.40181601,22.176917,"+1.00000000E+00
","+1.00000000E+02
"
113,0.40006771,21.695706,"+1.00000000E+00
","+1.00000000E+02
"
114,0.39885932,21.278484,"+1.00000000E+00
","+1.00000000E+02
"
115,0.39675654,20.946943,"+1.00000000E+00
","+1.00000000E+02
"
116,0.39537066,20.591807,"+1.00000000E+00
","+1.00000000E+02
"
117,0.39355312,20.191031,"+1.00000000E+00
","+1.00000000E+02
"
118,0.39188671,19.871298,"+1.00000000E+00
","+1.00000000E+02
"
119,0.38979398,19.393698,"+1.00000000E+00
","+1.00000000E+02
"
120,0.38858999,19.063388,"+1.00000000E+00
","+1.00000000E+02
"
121,0.38664397,18.723406,"+1.00000000E+00
","+1.00000000E+02
"
122,0.38542879,18.123488,"+1.00000000E+00
","+1.00000000E+02
"
