,Tensión,Tensión Corriente,ET,ETC
0,0.34533305,2.6729e-05,"+1.00000000E+00
","+1.00000000E-01
"
1,0.33518044,3.612e-06,"+1.00000000E+00
","+1.00000000E-01
"
2,0.33783538,4.632e-06,"+1.00000000E+00
","+1.00000000E-01
"
3,0.34223788,4.465e-06,"+1.00000000E+00
","+1.00000000E-01
"
4,0.34653851,3.778e-06,"+1.00000000E+00
","+1.00000000E-01
"
5,0.35027108,4.798e-06,"+1.00000000E+00
","+1.00000000E-01
"
6,0.3539227,2.81e-06,"+1.00000000E+00
","+1.00000000E-01
"
7,0.35767956,4.091e-06,"+1.00000000E+00
","+1.00000000E-01
"
8,0.36152101,3.404e-06,"+1.00000000E+00
","+1.00000000E-01
"
9,0.36502128,2.488e-06,"+1.00000000E+00
","+1.00000000E-01
"
10,0.36954177,4.403e-06,"+1.00000000E+00
","+1.00000000E-01
"
11,0.37313042,7.067e-06,"+1.00000000E+00
","+1.00000000E-01
"
12,0.37769066,3.997e-06,"+1.00000000E+00
","+1.00000000E-01
"
13,0.38029988,2.706e-06,"+1.00000000E+00
","+1.00000000E-01
"
14,0.38414426,3.986e-06,"+1.00000000E+00
","+1.00000000E-01
"
15,0.38774535,3.289e-06,"+1.00000000E+00
","+1.00000000E-01
"
16,0.39286509,2.904e-06,"+1.00000000E+00
","+1.00000000E-01
"
17,0.39600022,2.789e-06,"+1.00000000E+00
","+1.00000000E-01
"
18,0.3990842,3.976e-06,"+1.00000000E+00
","+1.00000000E-01
"
19,0.40365625,4.018e-06,"+1.00000000E+00
","+1.00000000E-01
"
20,0.40753065,3.206e-06,"+1.00000000E+00
","+1.00000000E-01
"
21,0.41221035,3.716e-06,"+1.00000000E+00
","+1.00000000E-01
"
22,0.41492437,4.496e-06,"+1.00000000E+00
","+1.00000000E-01
"
23,0.41883528,2.394e-06,"+1.00000000E+00
","+1.00000000E-01
"
24,0.42280478,3.32e-06,"+1.00000000E+00
","+1.00000000E-01
"
25,0.42627628,3.456e-06,"+1.00000000E+00
","+1.00000000E-01
"
26,0.43134569,3.018e-06,"+1.00000000E+00
","+1.00000000E-01
"
27,0.43409036,4.226e-06,"+1.00000000E+00
","+1.00000000E-01
"
28,0.437647,3.528e-06,"+1.00000000E+00
","+1.00000000E-01
"
29,0.44156639,3.102e-06,"+1.00000000E+00
","+1.00000000E-01
"
30,0.4454593,3.695e-06,"+1.00000000E+00
","+1.00000000E-01
"
31,0.44998951,-2.508e-06,"+1.00000000E+00
","+1.00000000E-01
"
32,0.45401026,-6.14e-07,"+1.00000000E+00
","+1.00000000E-01
"
33,0.45736755,7.702e-06,"+1.00000000E+00
","+1.00000000E-01
"
34,0.46076855,2.935e-06,"+1.00000000E+00
","+1.00000000E-01
"
35,0.4648119,3.154e-06,"+1.00000000E+00
","+1.00000000E-01
"
36,0.46870419,4.257e-06,"+1.00000000E+00
","+1.00000000E-01
"
37,0.47266583,2.831e-06,"+1.00000000E+00
","+1.00000000E-01
"
38,0.47605491,2.998e-06,"+1.00000000E+00
","+1.00000000E-01
"
39,0.48000577,4.413e-06,"+1.00000000E+00
","+1.00000000E-01
"
40,0.48391387,3.279e-06,"+1.00000000E+00
","+1.00000000E-01
"
41,0.48741225,4.538e-06,"+1.00000000E+00
","+1.00000000E-01
"
42,0.49244901,3.747e-06,"+1.00000000E+00
","+1.00000000E-01
"
43,0.4951482,2.467e-06,"+1.00000000E+00
","+1.00000000E-01
"
44,0.49977432,5.922e-06,"+1.00000000E+00
","+1.00000000E-01
"
45,0.5025669,2.675e-06,"+1.00000000E+00
","+1.00000000E-01
"
46,0.50718833,5.34e-06,"+1.00000000E+00
","+1.00000000E-01
"
47,0.51107361,6.25e-07,"+1.00000000E+00
","+1.00000000E-01
"
48,0.51476372,6.464e-06,"+1.00000000E+00
","+1.00000000E-01
"
49,0.51852506,2.373e-06,"+1.00000000E+00
","+1.00000000E-01
"
50,0.52233837,4.33e-06,"+1.00000000E+00
","+1.00000000E-01
"
51,0.52626436,3.268e-06,"+1.00000000E+00
","+1.00000000E-01
"
52,0.52991472,2.217e-06,"+1.00000000E+00
","+1.00000000E-01
"
53,0.53377594,4.632e-06,"+1.00000000E+00
","+1.00000000E-01
"
54,0.53726345,-8.33e-07,"+1.00000000E+00
","+1.00000000E-01
"
55,0.54075232,3.32e-06,"+1.00000000E+00
","+1.00000000E-01
"
56,0.54502554,4.184e-06,"+1.00000000E+00
","+1.00000000E-01
"
57,0.54853212,2.633e-06,"+1.00000000E+00
","+1.00000000E-01
"
58,0.55353363,5.298e-06,"+1.00000000E+00
","+1.00000000E-01
"
59,0.55631085,2.852e-06,"+1.00000000E+00
","+1.00000000E-01
"
