,Tensión,Tensión Corriente,ET,ETC
0,0.21288476,6.188532,"+1.00000000E+00
","+1.00000000E-01
"
1,0.24285405,2.8228e-05,"+1.00000000E+00
","+1.00000000E-01
"
2,0.25077438,1.2126e-05,"+1.00000000E+00
","+1.00000000E-01
"
3,0.25710648,7.681e-06,"+1.00000000E+00
","+1.00000000E-01
"
4,0.26383706,7.348e-06,"+1.00000000E+00
","+1.00000000E-01
"
5,0.27130565,7.047e-06,"+1.00000000E+00
","+1.00000000E-01
"
6,0.2767607,6.599e-06,"+1.00000000E+00
","+1.00000000E-01
"
7,0.28383708,4.611e-06,"+1.00000000E+00
","+1.00000000E-01
"
8,0.29094032,6.453e-06,"+1.00000000E+00
","+1.00000000E-01
"
9,0.29848027,4.549e-06,"+1.00000000E+00
","+1.00000000E-01
"
10,0.30515929,7.754e-06,"+1.00000000E+00
","+1.00000000E-01
"
11,0.31182595,3.279e-06,"+1.00000000E+00
","+1.00000000E-01
"
12,0.31877942,6.609e-06,"+1.00000000E+00
","+1.00000000E-01
"
13,0.32604952,4.351e-06,"+1.00000000E+00
","+1.00000000E-01
"
14,0.32737526,7.91e-06,"+1.00000000E+00
","+1.00000000E+01
"
15,0.33361727,2.5984836,"+1.00000000E+00
","+1.00000000E+01
"
16,0.33988952,2.8912386,"+1.00000000E+00
","+1.00000000E+01
"
17,0.34567434,3.4204105,"+1.00000000E+00
","+1.00000000E+01
"
18,0.35228694,3.6918445,"+1.00000000E+00
","+1.00000000E+01
"
19,0.35817994,4.0877755,"+1.00000000E+00
","+1.00000000E+01
"
20,0.36424435,4.8297781,"+1.00000000E+00
","+1.00000000E+01
"
21,0.3702458,5.1176008,"+1.00000000E+00
","+1.00000000E+01
"
22,0.3759322,5.4492803,"+1.00000000E+00
","+1.00000000E+01
"
23,0.38255536,5.9252145,"+1.00000000E+00
","+1.00000000E+01
"
24,0.38808344,6.3824,"+1.00000000E+00
","+1.00000000E+01
"
25,0.39409073,6.9172279,"+1.00000000E+00
","+1.00000000E+01
"
26,0.40078763,7.3410532,"+1.00000000E+00
","+1.00000000E+01
"
27,0.40616548,7.7090476,"+1.00000000E+00
","+1.00000000E+01
"
28,0.41298247,8.4140947,"+1.00000000E+00
","+1.00000000E+01
"
29,0.41858822,8.7879153,"+1.00000000E+00
","+1.00000000E+01
"
30,0.4242233,9.325111,"+1.00000000E+00
","+1.00000000E+01
"
31,0.4292496,9.9250893,"+1.00000000E+00
","+1.00000000E+01
"
32,0.43518338,10.202492,"+1.00000000E+00
","+1.00000000E+02
"
33,0.44111914,11.165985,"+1.00000000E+00
","+1.00000000E+02
"
34,0.44706975,11.866617,"+1.00000000E+00
","+1.00000000E+02
"
35,0.4523402,12.326821,"+1.00000000E+00
","+1.00000000E+02
"
36,0.45931311,12.822028,"+1.00000000E+00
","+1.00000000E+02
"
37,0.46444216,13.166658,"+1.00000000E+00
","+1.00000000E+02
"
38,0.47043722,13.83692,"+1.00000000E+00
","+1.00000000E+02
"
39,0.47564783,14.534935,"+1.00000000E+00
","+1.00000000E+02
"
40,0.48209651,15.114947,"+1.00000000E+00
","+1.00000000E+02
"
